Image,Granulocyte,Lymphocyte,Plasma,Stromal,Tumor
2021-07-14_19.58.43_Region2_tile52.png,0,0,0,1,23
2021-07-14_19.58.43_Region4_tile47.png,0,4,0,0,12
2021-07-14_19.58.43_Region1_tile19.png,0,0,0,10,0
2021-07-12_17.01.28_Region8_tile92.png,0,0,0,0,12
2021-05-07_20.27.28_Region1_tile5.png,0,2,0,18,4
2021-07-14_19.58.43_Region5_tile31.png,0,2,0,10,0
2021-07-14_19.58.43_Region3_tile24.png,0,0,0,2,22
2021-07-14_20.02.54_Region4_tile11.png,0,0,0,0,13
ImageCollection_0000079249_2021-01-29_18_20_28.scn_-_Series_1_Region1_tile2.png,2,2,0,33,36
2021-07-12_16.28.47_Region25_tile1.png,0,0,18,10,0
2021-07-12_17.01.28_Region8_tile43.png,0,0,0,0,15
2021-07-12_17.01.28_Region7_tile4.png,0,22,0,9,0
2021-05-07_20.27.28_Region1_tile20.png,0,0,0,0,28
2021-05-07_18.22.27_Region1_tile27.png,0,7,12,15,0
2021-05-07_18.22.27_Region6_tile44.png,0,0,0,12,14
2021-07-14_20.01.02_Region32_tile21.png,0,0,0,0,22
H2018028863S2-9-2_2020-12-23_11_46_45.scn_-_Series_1_Region9_tile6.png,0,0,0,4,73
2021-07-14_20.01.02_Region8_tile8.png,0,3,5,14,0
2021-07-14_20.02.54_Region1_tile33.png,0,0,0,0,9
2021-07-14_19.58.43_Region3_tile58.png,0,2,0,19,0
2021-07-14_19.58.43_Region3_tile89.png,0,0,0,9,0
H2018028863S2-9-2_2020-12-23_11_46_45.scn_-_Series_1_Region16_tile1.png,111,9,1,18,0
2021-07-12_17.01.28_Region4_tile15.png,0,0,0,0,13
2021-07-12_17.01.28_Region12_tile25.png,0,29,0,4,0
2021-07-14_20.02.54_Region4_tile2.png,0,0,0,0,14
2021-07-14_19.44.36_Region3_tile4.png,0,36,0,3,0
2021-05-07_18.03.28_Region4_tile11.png,0,17,2,25,0
H2018029881S1-1-2_-_2021-07-14_19.28.39_Region4_tile2.png,38,3,0,14,0
2021-07-14_19.58.43_Region2_tile29.png,0,1,0,8,0
H2018028863S2-9-2_2020-12-23_11_46_45.scn_-_Series_1_Region9_tile1.png,0,0,0,45,76
2021-07-14_20.02.54_Region1_tile34.png,0,0,0,0,13
2021-07-14_19.44.36_Region3_tile10.png,0,32,1,1,0
2021-07-12_17.01.28_Region4_tile12.png,0,0,0,0,16
2021-07-12_17.01.28_Region8_tile38.png,0,0,0,0,9
2021-07-12_17.01.28_Region12_tile22.png,0,25,0,17,0
2021-05-07_19.22.18_Region4_tile8.png,0,10,0,2,20
2021-05-07_20.27.28_Region2_tile10.png,0,0,0,4,22
2021-07-14_20.02.54_Region4_tile5.png,0,0,0,0,15
2021-07-14_19.44.36_Region3_tile3.png,0,41,0,7,0
2021-05-07_18.03.28_Region4_tile16.png,0,16,0,15,0
H2018029881S1-1-2_-_2021-07-14_19.28.39_Region4_tile5.png,30,0,0,10,1
2021-07-14_19.58.43_Region4_tile40.png,0,1,0,3,28
2021-07-14_19.58.43_Region2_tile55.png,0,0,0,0,36
2021-07-12_17.01.28_Region8_tile95.png,0,0,0,0,12
2021-07-14_19.58.43_Region3_tile23.png,0,1,0,4,6
2021-07-14_20.02.54_Region1_tile48.png,0,0,0,0,15
2021-05-07_20.27.28_Region1_tile2.png,0,1,0,0,22
2021-07-14_20.02.54_Region4_tile16.png,0,0,0,0,10
ImageCollection_0000079249_2021-01-29_18_20_28.scn_-_Series_1_Region1_tile5.png,0,1,0,12,56
H2018029881S1-1-2_-_2021-07-14_19.28.39_Region1_tile30.png,7,0,0,0,16
2021-07-12_17.01.28_Region8_tile44.png,0,0,0,0,22
2021-07-12_17.01.28_Region7_tile3.png,0,62,0,1,0
2021-07-14_19.58.43_Region1_tile9.png,0,0,0,2,0
2021-05-07_18.22.27_Region1_tile20.png,0,0,0,7,0
2021-05-07_18.22.27_Region6_tile43.png,0,0,0,0,30
2021-07-14_20.01.02_Region32_tile26.png,0,2,0,0,26
2021-07-14_19.58.43_Region4_tile32.png,0,0,0,3,0
2021-07-14_19.58.43_Region2_tile27.png,0,1,0,3,0
2021-07-14_19.58.43_Region3_tile51.png,0,0,0,2,2
2021-07-14_20.01.02_Region8_tile1.png,0,2,0,3,27
2021-07-14_19.58.43_Region3_tile80.png,0,1,0,22,0
2021-05-07_18.22.27_Region1_tile52.png,0,2,1,24,0
2021-05-07_19.22.18_Region4_tile6.png,0,0,0,7,0
2021-07-12_17.01.28_Region10_tile11.png,0,0,0,13,0
2021-05-07_18.22.27_Region6_tile31.png,0,0,0,0,29
2021-05-07_18.22.27_Region6_tile3.png,0,0,0,0,8
2021-07-14_19.58.43_Region1_tile10.png,0,0,0,2,0
2021-07-14_20.02.54_Region4_tile18.png,0,0,0,0,10
2021-07-14_20.02.54_Region1_tile46.png,0,0,0,0,9
2021-07-14_20.02.54_Region5_tile2.png,0,93,0,0,0
2021-07-12_16.28.47_Region17_tile4.png,0,0,3,5,0
2021-05-07_18.22.27_Region3_tile13.png,0,4,3,24,0
2021-07-14_20.01.02_Region32_tile28.png,0,3,0,0,19
2021-07-14_19.58.43_Region1_tile17.png,0,0,0,5,1
2021-07-14_19.58.43_Region4_tile49.png,0,1,0,4,0
2021-07-14_20.02.54_Region1_tile41.png,0,0,0,0,13
2021-07-14_20.02.54_Region5_tile5.png,0,84,0,0,0
2021-07-12_16.28.47_Region17_tile3.png,0,0,7,7,0
2021-05-07_18.22.27_Region1_tile29.png,0,0,0,8,0
2021-05-07_18.03.28_Region5_tile15.png,0,3,0,18,4
2021-05-07_18.22.27_Region3_tile14.png,0,0,0,5,12
H2018028863S2-9-2_2020-12-23_11_46_45.scn_-_Series_1_Region8_tile1.png,0,9,43,24,0
H2018028863S2-9-2_2020-12-23_11_46_45.scn_-_Series_1_Region9_tile8.png,0,0,0,4,81
2021-07-14_19.58.43_Region2_tile20.png,0,0,0,1,21
2021-07-14_19.58.43_Region4_tile35.png,0,0,0,1,0
2021-07-14_20.01.02_Region8_tile6.png,0,5,3,13,9
2021-07-14_19.58.43_Region3_tile87.png,0,0,0,3,13
2021-07-14_19.44.36_Region3_tile19.png,0,13,0,10,0
2021-05-07_19.22.18_Region4_tile1.png,0,10,0,17,0
2021-05-07_18.22.27_Region1_tile55.png,0,3,0,11,0
2021-05-07_18.22.27_Region6_tile36.png,1,1,0,10,0
2021-07-14_19.44.36_Region3_tile50.png,0,12,0,3,0
2021-07-12_17.01.28_Region2_tile47.png,0,0,0,17,0
2021-07-12_17.01.28_Region8_tile78.png,0,0,0,0,10
2021-07-14_19.44.36_Region4_tile33.png,0,0,0,8,8
2021-07-14_20.02.54_Region6_tile2.png,0,85,0,0,0
2021-07-14_19.58.43_Region1_tile22.png,0,0,0,5,0
2021-07-14_19.58.43_Region2_tile69.png,0,8,0,13,0
2021-05-07_18.03.28_Region3_tile2.png,0,0,0,0,24
2021-07-12_16.28.47_Region9_tile8.png,0,1,24,9,0
2021-05-07_18.22.27_Region3_tile21.png,0,7,17,13,0
2021-07-14_20.01.02_Region24_tile3.png,0,61,0,0,0
2021-07-14_19.58.43_Region2_tile7.png,0,0,0,1,0
2021-05-07_18.03.28_Region5_tile20.png,0,0,0,0,38
2021-07-12_16.28.47_Region14_tile4.png,0,3,14,14,0
2021-07-12_17.01.28_Region5_tile4.png,0,20,0,15,0
2021-07-14_19.58.43_Region3_tile63.png,0,0,0,7,0
2021-07-14_19.58.43_Region2_tile15.png,0,0,0,2,0
2021-05-07_18.22.27_Region1_tile60.png,2,6,1,10,0
2021-07-12_17.01.28_Region4_tile29.png,0,0,0,0,15
2021-07-12_16.28.47_Region40_tile2.png,70,0,0,0,0
2021-07-12_17.01.28_Region5_tile3.png,0,32,0,9,0
2021-07-14_19.58.43_Region3_tile9.png,0,0,0,1,0
2021-07-14_19.58.43_Region3_tile64.png,0,1,0,3,0
ImageCollection_0000079197_2021-01-28_18_07_18.scn_-_Series_1_Region13_tile9.png,2,108,33,30,0
2021-07-14_19.58.43_Region2_tile12.png,0,0,0,2,8
2021-07-14_20.02.54_Region3_tile32.png,0,0,0,17,0
2021-07-14_19.29.44_Region3_tile31.png,0,0,0,0,30
2021-05-07_18.22.27_Region1_tile67.png,1,0,0,0,8
2021-07-12_17.01.28_Region12_tile19.png,0,56,0,2,0
2021-07-14_20.02.54_Region6_tile5.png,0,102,0,0,0
2021-07-14_19.58.43_Region3_tile18.png,0,0,0,3,0
2021-07-14_19.58.43_Region1_tile25.png,0,0,0,4,0
H2018028863S2-9-2_2020-12-23_11_46_45.scn_-_Series_1_Region14_tile6.png,0,17,16,46,0
2021-07-14_20.01.02_Region24_tile4.png,0,59,0,0,0
H2018028863S2-9-2_2020-12-23_11_46_45.scn_-_Series_1_Region15_tile1.png,1,9,1,73,14
2021-07-12_17.01.28_Region4_tile27.png,0,0,0,0,19
2021-07-12_17.01.28_Region2_tile32.png,0,0,0,9,3
2021-07-14_19.58.43_Region3_tile7.png,0,0,0,8,0
ImageCollection_0000079197_2021-01-28_18_07_18.scn_-_Series_1_Region13_tile7.png,0,46,16,60,0
2021-05-07_21.28.14_Region1_tile34.png,0,0,0,1,26
2021-07-12_17.01.28_Region12_tile17.png,0,33,0,13,0
2021-05-07_18.22.27_Region1_tile69.png,0,3,0,0,11
2021-07-12_17.01.28_Region8_tile71.png,0,0,0,0,16
2021-07-14_19.58.43_Region3_tile16.png,0,0,0,4,0
2021-07-14_20.02.54_Region4_tile23.png,0,0,0,0,11
2021-05-07_20.27.28_Region2_tile5.png,0,0,0,1,36
2021-07-14_19.58.43_Region2_tile60.png,0,2,0,8,16
2021-07-14_20.02.54_Region3_tile40.png,0,0,0,12,0
2021-07-14_20.01.02_Region32_tile13.png,0,0,0,0,21
2021-07-12_16.28.47_Region9_tile1.png,0,0,0,9,20
2021-05-07_20.27.28_Region1_tile12.png,0,3,0,7,11
2021-07-12_17.01.28_Region4_tile4.png,0,0,0,0,10
2021-05-07_18.22.27_Region1_tile15.png,0,1,0,11,0
2021-07-12_17.01.28_Region8_tile76.png,0,0,0,0,19
2021-07-14_19.58.43_Region3_tile11.png,0,0,0,3,0
2021-05-07_20.27.28_Region2_tile2.png,0,2,0,2,26
2021-07-14_20.02.54_Region4_tile24.png,0,0,0,0,10
2021-07-14_20.01.02_Region32_tile14.png,0,0,0,0,23
2021-07-12_16.28.47_Region9_tile6.png,6,0,0,9,11
2021-07-12_16.28.47_Region41_tile2.png,0,2,28,22,0
2021-05-07_18.22.27_Region6_tile71.png,1,1,0,6,16
2021-07-14_19.58.43_Region2_tile9.png,0,0,0,4,0
2021-07-12_17.01.28_Region4_tile3.png,0,0,0,0,13
2021-07-12_17.01.28_Region4_tile20.png,0,0,0,0,20
2021-05-07_21.28.14_Region1_tile33.png,0,0,0,0,38
2021-07-12_17.01.28_Region12_tile10.png,0,40,0,8,0
2021-05-07_18.22.27_Region6_tile60.png,0,2,0,22,2
2021-05-07_18.22.27_Region3_tile4.png,0,8,1,15,0
2021-07-14_20.02.54_Region4_tile35.png,0,0,0,0,11
2021-07-12_17.01.28_Region11_tile1.png,0,0,0,0,15
2021-07-14_19.58.43_Region5_tile15.png,0,1,0,10,0
2021-07-14_19.58.43_Region2_tile76.png,0,0,0,2,0
2021-07-14_19.44.36_Region6_tile11.png,0,49,0,0,0
2021-07-12_17.01.28_Region8_tile67.png,0,0,0,0,10
2021-07-14_19.58.43_Region5_tile9.png,0,0,0,3,0
H2018029881S1-1-2_-_2021-07-14_19.28.39_Region1_tile13.png,3,0,0,0,13
2021-07-12_17.01.28_Region9_tile11.png,0,0,0,6,0
2021-05-07_21.28.14_Region2_tile8.png,9,7,0,16,0
2021-07-14_19.29.44_Region3_tile29.png,0,0,0,0,29
2021-07-14_19.29.44_Region1_tile6.png,0,4,0,3,22
2021-07-14_19.29.44_Region1_tile14.png,0,1,0,2,16
H2018028863S2-9-2_2020-12-23_11_46_45.scn_-_Series_1_Region12_tile6.png,0,2,0,22,106
2021-05-07_18.03.28_Region5_tile5.png,0,2,0,11,22
2021-07-14_20.02.54_Region1_tile17.png,0,0,0,0,11
2021-07-14_19.58.43_Region1_tile41.png,0,2,0,8,3
2021-05-07_21.28.14_Region1_tile22.png,0,0,0,0,15
2021-07-12_17.01.28_Region9_tile2.png,0,0,0,0,26
2021-07-12_17.01.28_Region2_tile24.png,0,0,0,3,3
2021-07-12_17.01.28_Region4_tile31.png,0,0,0,0,14
2021-07-14_19.44.36_Region3_tile33.png,0,9,0,3,15
H2018029881S1-1-2_-_2021-07-14_19.28.39_Region2_tile24.png,5,0,0,0,19
2021-05-07_18.22.27_Region3_tile45.png,0,15,1,22,0
2021-07-14_19.58.43_Region4_tile7.png,0,0,0,2,0
2021-07-14_19.29.44_Region1_tile13.png,0,1,0,0,35
2021-07-14_19.29.44_Region1_tile1.png,0,1,0,3,10
H2018028863S2-9-2_2020-12-23_11_46_45.scn_-_Series_1_Region12_tile1.png,0,0,0,21,65
2021-05-07_18.03.28_Region5_tile2.png,0,0,0,0,39
2021-07-14_20.02.54_Region1_tile10.png,0,0,0,0,13
2021-07-14_19.58.43_Region4_tile18.png,0,0,0,0,27
2021-05-07_21.28.14_Region1_tile25.png,0,0,0,1,27
2021-07-14_19.58.43_Region1_tile46.png,0,0,0,15,0
2021-07-12_17.01.28_Region9_tile5.png,0,0,0,0,22
2021-07-12_17.01.28_Region4_tile36.png,0,0,0,0,18
2021-07-12_17.01.28_Region2_tile23.png,0,0,0,12,0
H2018029881S1-1-2_-_2021-07-14_19.28.39_Region2_tile23.png,3,4,0,0,22
2021-05-07_18.22.27_Region6_tile67.png,1,1,3,23,1
2021-05-07_18.22.27_Region3_tile39.png,0,0,0,5,23
ImageCollection_0000079249_2021-01-29_18_20_28.scn_-_Series_1_Region5_tile2.png,1,37,10,118,0
2021-07-12_16.28.47_Region18_tile5.png,30,0,0,3,0
2021-07-14_20.01.02_Region32_tile9.png,0,1,0,0,23
2021-07-14_19.29.44_Region2_tile24.png,0,9,0,6,24
2021-05-07_18.22.27_Region3_tile3.png,0,10,1,24,0
2021-07-14_20.02.54_Region4_tile32.png,0,0,0,0,9
2021-07-12_17.01.28_Region11_tile6.png,0,2,0,6,0
2021-07-14_19.58.43_Region2_tile71.png,0,31,0,6,0
2021-05-07_21.28.14_Region2_tile12.png,3,13,0,15,0
2021-07-14_19.44.36_Region3_tile48.png,0,5,0,6,1
2021-07-12_17.01.28_Region8_tile60.png,0,0,0,0,27
H2018029881S1-1-2_-_2021-07-14_19.28.39_Region3_tile29.png,38,2,0,0,23
H2018029881S1-1-2_-_2021-07-14_19.28.39_Region1_tile14.png,19,1,0,0,14
2021-07-14_19.29.44_Region3_tile20.png,0,0,0,3,16
2021-05-07_18.22.27_Region6_tile15.png,0,3,0,12,0
2021-07-12_17.01.28_Region2_tile3.png,0,0,0,1,17
2021-07-14_19.58.43_Region4_tile9.png,0,0,0,0,0
2021-05-07_21.28.14_Region2_tile1.png,0,4,0,20,0
2021-05-07_18.22.27_Region1_tile76.png,0,2,5,18,0
2021-07-12_16.28.47_Region31_tile5.png,0,0,0,0,11
2021-07-12_17.01.28_Region10_tile1.png,0,0,0,0,5
2021-07-14_20.02.54_Region4_tile40.png,0,0,0,0,15
ImageCollection_0000079197_2021-01-28_18_07_18.scn_-_Series_1_Region13_tile13.png,0,15,1,28,49
2021-07-14_19.58.43_Region3_tile75.png,0,0,0,9,0
2021-07-14_20.02.54_Region3_tile23.png,0,0,0,18,4
2021-07-14_19.58.43_Region4_tile16.png,0,1,0,1,0
2021-07-12_17.01.28_Region4_tile38.png,0,0,0,0,16
2021-05-07_18.22.27_Region3_tile37.png,0,11,2,29,0
2021-05-07_18.22.27_Region6_tile69.png,3,0,4,0,37
2021-07-14_20.02.54_Region1_tile5.png,0,0,0,0,11
2021-07-12_17.01.28_Region8_tile2.png,0,0,0,0,5
2021-05-07_18.03.28_Region3_tile23.png,0,0,0,0,12
H2018029881S1-1-2_-_2021-07-14_19.28.39_Region1_tile5.png,1,0,0,0,20
2021-05-07_18.03.28_Region4_tile5.png,0,33,0,6,0
2021-07-14_19.58.43_Region1_tile34.png,0,0,0,13,0
H2018029881S1-1-2_-_2021-07-14_19.28.39_Region3_tile27.png,36,6,0,0,12
2021-07-14_19.44.36_Region3_tile46.png,0,9,0,6,0
2021-07-14_20.01.02_Region23_tile4.png,0,1,0,11,0
2021-07-14_19.44.36_Region4_tile25.png,0,0,0,0,10
2021-05-07_18.22.27_Region3_tile30.png,0,3,5,13,6
2021-07-12_17.01.28_Region8_tile5.png,0,0,0,0,7
2021-07-14_20.02.54_Region1_tile2.png,0,0,0,0,12
2021-07-14_19.44.36_Region6_tile4.png,0,56,0,1,0
2021-05-07_18.03.28_Region3_tile24.png,0,0,0,0,16
2021-07-14_19.58.43_Region2_tile78.png,0,1,0,1,0
2021-05-07_18.03.28_Region4_tile2.png,0,17,0,18,0
H2018029881S1-1-2_-_2021-07-14_19.28.39_Region3_tile20.png,6,2,0,0,17
2021-07-12_17.01.28_Region8_tile69.png,0,0,0,0,9
2021-07-14_19.44.36_Region3_tile41.png,0,4,0,7,4
H2018028863S2-9-2_2020-12-23_11_46_45.scn_-_Series_1_Region13_tile1.png,4,85,80,30,0
2021-07-14_19.44.36_Region4_tile22.png,0,0,0,11,6
2021-07-14_20.01.02_Region23_tile3.png,0,2,0,12,0
2021-07-12_17.01.28_Region2_tile4.png,0,0,0,0,17
2021-05-07_18.22.27_Region6_tile12.png,0,0,0,0,10
2021-07-14_19.29.44_Region3_tile27.png,0,0,0,0,23
2021-05-07_21.28.14_Region2_tile6.png,0,16,0,12,0
2021-05-07_18.22.27_Region1_tile71.png,0,16,1,14,0
2021-07-14_19.29.44_Region1_tile8.png,0,0,0,8,20
2021-07-12_16.28.47_Region31_tile2.png,0,0,0,0,19
2021-07-12_17.01.28_Region10_tile6.png,1,0,0,9,0
2021-07-14_19.58.43_Region3_tile72.png,0,1,0,7,0
2021-07-14_20.02.54_Region1_tile19.png,0,0,0,0,10
ImageCollection_0000079197_2021-01-28_18_07_18.scn_-_Series_1_Region13_tile14.png,0,104,6,45,13
2021-07-14_20.02.54_Region3_tile24.png,0,0,0,6,18
2021-07-14_19.58.43_Region4_tile11.png,0,0,0,3,1
H2018029881S1-1-2_-_2021-07-14_19.28.39_Region2_tile5.png,4,0,0,0,18
2021-05-07_18.03.28_Region3_tile11.png,0,0,0,9,8
2021-07-14_19.29.44_Region2_tile18.png,0,3,0,1,26
