img,type
2021-07-12_16.28.47_Region14_tile7.png,Skin
H2018029881S1-1-2_-_2021-07-14_19.28.39_Region4_tile1.png,Skin
2021-07-14_19.58.43_Region1_tile2.png,Skin
2021-05-07_18.22.27_Region1_tile11.png,Skin
2021-07-14_19.58.43_Region3_tile12.png,Skin
2021-07-14_19.58.43_Region3_tile69.png,Skin
2021-07-14_19.58.43_Region1_tile5.png,Skin
2021-07-14_20.01.02_Region24_tile9.png,Skin
2021-07-14_19.44.36_Region4_tile39.png,Skin
2021-07-14_19.58.43_Region1_tile28.png,Skin
2021-07-14_20.02.54_Region4_tile15.png,Skin
2021-07-14_19.58.43_Region5_tile35.png,Skin
2021-05-07_20.27.28_Region2_tile9.png,Skin
2021-07-12_17.01.28_Region8_tile47.png,Skin
2021-07-12_17.01.28_Region8_tile91.png,Skin
2021-05-07_20.27.28_Region2_tile14.png,Skin
2021-07-14_19.58.43_Region4_tile38.png,Skin
2021-07-12_16.28.47_Region9_tile4.png,Skin
2021-07-12_17.01.28_Region4_tile1.png,Skin
2021-07-14_19.58.43_Region3_tile29.png,Skin
2021-07-14_19.58.43_Region3_tile83.png,Skin
2021-07-12_17.01.28_Region8_tile35.png,Skin
2021-07-14_20.01.02_Region32_tile31.png,Skin
2021-07-14_19.58.43_Region4_tile20.png,Skin
2021-07-14_19.29.44_Region1_tile3.png,Skin
2021-07-12_17.01.28_Region12_tile24.png,Skin
2021-07-14_20.01.02_Region21_tile9.png,Skin
2021-05-07_18.22.27_Region6_tile23.png,Skin
2021-07-12_17.01.28_Region8_tile58.png,Skin
2021-07-14_20.02.54_Region1_tile9.png,Skin
2021-07-14_19.44.36_Region4_tile14.png,Skin
2021-07-14_19.58.43_Region3_tile38.png,Skin
2021-05-07_18.22.27_Region6_tile58.png,Skin
2021-05-07_18.22.27_Region1_tile35.png,Skin
2021-07-14_19.58.43_Region4_tile29.png,Skin
2021-07-14_19.29.44_Region3_tile18.png,Skin
2021-07-12_16.28.47_Region45_tile1.png,Skin
